,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Oliver Skipp,5.27,6.06,7.47,7.04,,5.26,7.43,,,
Odsonne Édouard,5.83,5.55,5.72,5.95,,,,,7.79,
Boubakary Soumaré,5.96,6.91,7.51,5.78,7.58,6.42,6.95,6.69,,
Danny Ward,7.1,,6.21,6.44,,,,,,
Ricardo Pereira,6.73,,5.5,8.17,7.24,6.85,6.15,,8.08,7.14
Hamza Choudhury,7.71,,,5.78,7.08,7.22,7.3,6.79,,
Conor Coady,7.36,,7.34,7.33,8.12,6.21,5.69,,,
João Pedro,6.51,6.27,,6.81,,6.39,,,,
Jason Steele,8.43,7.44,5.59,6.35,,,,,,
Carlos Baleba,6.09,5.77,6.54,,,,,,,
Danny Welbeck,7.68,7.3,5.94,7.68,6.19,5.62,7.1,7.06,6.36,10.0
Jan Paul van Hecke,8.13,7.69,6.55,,,,,,,
Bart Verbruggen,7.92,6.0,,,,,,,,
Kaoru Mitoma,7.7,7.36,6.63,,,,,,,
Pervis Estupiñán,5.61,8.01,7.71,5.98,7.67,6.74,,,7.09,
James Milner,5.88,8.22,6.4,7.51,7.78,5.49,7.7,6.79,8.01,8.39
Lewis Dunk,6.64,6.01,7.37,7.22,8.05,6.75,7.36,7.76,,
Matt O'Riley,7.39,,,,,,,,,
Yasin Ayari,8.01,,7.33,,,,,,,
Billy Gilmour,5.86,6.09,6.93,7.0,7.09,5.48,,,,
Joël Veltman,6.61,7.89,7.34,7.5,5.8,,,,,
Julio Enciso,6.94,6.49,7.19,,,,,,,
Yankuba Minteh,8.08,,,,,,,,,
Georginio Rutter,7.3,,5.4,8.12,6.13,,,,,
Ferdi Kadioglu,6.13,,,,,,,,,
Jack Hinshelwood,7.83,7.05,7.33,,,,,,,
Simon Adingra,6.66,6.6,,,,,,,,
Tariq Lamptey,6.38,6.29,6.4,6.62,6.75,6.38,,,,
Igor Carioca,6.99,7.88,8.1,8.25,6.35,7.42,,,,
Mats Wieffer,5.98,,,,,,,,,
Evan Ferguson,5.65,6.22,7.76,7.55,,,,,,
Adam Webster,5.49,7.85,6.97,6.85,7.81,7.24,6.3,5.96,,
Brajan Gruda,5.33,6.33,5.22,,,,,,,
Jeremy Sarmiento,7.02,,7.72,5.32,,,,,,
Jakub Moder,6.68,6.01,,7.28,5.72,,,,,
Bryan Mbeumo,6.82,6.63,6.26,6.43,,,,5.81,,
Mark Flekken,7.53,5.77,6.15,7.58,7.72,8.64,2.0,,,
Mikkel Damsgaard,6.57,7.44,7.05,7.35,6.19,,,,,
Nathan Collins,7.36,5.91,6.88,7.95,,,,,,
Yoane Wissa,7.12,6.67,6.88,7.9,6.95,,,,6.5,
Christian Nørgaard,12.0,6.75,6.89,5.85,,,7.62,,,
Ethan Pinnock,6.77,7.96,5.75,6.52,,,,,,
Vitaly Janelt,5.97,7.16,6.55,5.63,,,,,,
Kevin Schade,5.81,7.48,6.06,7.05,,,,,,
Mathias Jensen,6.7,5.92,7.0,7.03,,,6.11,,,
Keane Lewis-Potter,6.3,6.83,6.04,,,,,,,
Yehor Yarmoliuk,6.07,7.12,,,,,,,,
Sepp van den Berg,7.45,7.31,5.46,,,,,,,
Thiago,7.29,,,,,,,,7.96,6.1
Ryan Trevitt,7.02,,,,,,,,,
Edmond-Paris Maghoma,6.47,,,,,,,,,
Fabio Carvalho,6.77,5.62,7.01,,7.52,,,,,
Mads Roerslev,6.85,5.8,5.49,5.41,,,,,,
Ben Mee,7.35,5.75,8.14,6.01,6.77,5.74,6.47,5.59,7.01,7.27
Kristoffer Ajer,6.72,7.44,5.93,7.85,,,,,,
Jayden Meghoma,7.53,,,,,,,,,
Frank Onyeka,5.72,8.04,7.53,7.8,,,,,,
Yunus Musah,6.82,6.14,7.52,5.76,6.03,,,,,
Mark Travers,7.66,7.12,6.24,,,5.17,6.3,,,
Antoine Semenyo,7.33,7.65,6.73,,,,,,,
Lewis Cook,7.31,6.21,5.86,,,5.69,5.85,6.92,7.26,
Kepa Arrizabalaga,6.54,8.08,8.07,7.37,7.37,5.75,5.94,7.74,6.54,
Milos Kerkez,8.29,7.69,,,,,,,,
Justin Kluivert,5.85,5.36,5.55,6.34,6.93,5.98,7.61,,,
Evanilson,6.27,,,,,,,,,
Marcus Tavernier,8.29,7.49,5.79,,,,,,,
Luis Sinisterra,5.75,7.73,5.65,,,,,,,
Dean Huijsen,7.67,7.96,,,,,,,,
Ryan Christie,7.75,7.86,6.71,,,,,,,
Dango Ouattara,6.66,7.96,8.59,6.33,,,,,,
Illia Zabarnyi,7.58,7.46,6.42,,,,,,,
Marcos Senesi,7.12,6.37,5.97,,,,,,,
Philip Billing,5.78,6.99,7.94,,,6.38,6.69,7.45,,
Alex Scott,5.54,6.93,,,,,,,,
Tyler Adams,5.49,6.01,8.11,7.16,6.55,7.25,6.08,,,
Enes Ünal,5.67,6.22,7.05,6.58,6.32,5.69,7.71,8.02,,
Max Aarons,7.02,7.0,,6.3,,7.23,,,,
David Brooks,6.34,6.31,6.48,,,5.7,7.81,,,
Adam Smith,6.27,7.46,7.06,,,7.46,7.87,6.14,8.07,8.07
James Hill,6.5,6.09,,,,,,,,
Julian Araujo,5.99,6.66,,,,,,,,
Daniel Jebbison,5.21,6.98,,,7.59,,,,,
Youri Tielemans,8.48,7.4,7.98,7.89,7.15,12.0,6.43,7.81,,
Tyrone Mings,8.31,5.91,6.34,7.05,5.79,7.86,6.31,6.22,6.91,7.51
Morgan Rogers,6.91,6.72,,,,,,,,
Jacob Ramsey,8.15,8.07,6.61,8.13,6.01,,,,,
Lucas Digne,6.64,7.37,5.72,7.02,6.95,7.15,7.73,7.54,5.69,5.73
Emiliano Martínez,6.14,8.06,7.9,5.55,5.8,7.3,,7.56,7.75,
John McGinn,8.27,7.77,6.16,6.54,6.58,6.88,,,,
Ollie Watkins,6.62,8.55,6.71,7.83,7.07,,,,,
Amadou Onana,7.65,7.15,8.16,7.62,,,,,,
Ezri Konsa,6.56,7.19,6.77,7.88,6.55,5.77,,,,
Matty Cash,6.96,7.51,7.38,8.05,7.4,,,,,
Jhon Durán,6.52,7.44,6.33,,,,,,6.87,
Ross Barkley,5.93,7.22,6.91,6.25,6.8,6.82,6.5,7.02,6.62,6.94
Pau Torres,7.45,6.07,8.04,6.2,7.83,7.56,,5.67,,
Kosta Nedeljković,6.43,,,,,,,,,
Boubacar Kamara,6.08,6.0,7.68,7.59,6.26,12.0,6.72,6.22,,
Leon Bailey,6.17,7.25,7.22,5.97,8.17,6.9,6.09,6.34,5.83,
Ian Maatsen,7.96,8.33,,,,,,,,
Diego Carlos,7.09,6.38,5.69,6.68,7.43,6.35,7.53,6.19,8.0,
Emi Buendía,7.35,,7.81,6.75,,7.15,,,,7.62
Robin Olsen,7.17,7.15,5.96,5.22,6.98,7.99,6.73,,,
Lamare Bogarde,5.5,,,,,,,,,
Jaden Philogene Bidace,6.8,5.38,,5.65,,,,,,
Morgan Gibbs-White,7.5,8.27,7.19,5.25,7.15,7.11,7.5,,,
Elliot Anderson,8.65,6.57,5.78,,,,,,,
Willy Boly,8.62,5.87,7.46,5.56,5.87,5.95,5.84,,,
Callum Hudson-Odoi,6.85,6.84,7.09,6.99,6.01,6.93,6.03,10.0,,
Murillo,7.72,8.03,,,,,,,,
Nikola Milenković,6.84,5.51,5.63,7.92,7.87,6.37,7.31,5.58,,
Matz Sels,6.22,6.95,8.04,6.67,6.85,7.08,7.59,,,
Ibrahim Sangaré,6.2,8.1,,,,6.05,7.13,7.63,6.47,
Ola Aina,6.44,6.13,5.6,7.33,6.15,5.58,6.91,,5.82,
Chris Wood,5.67,8.03,5.55,7.2,7.0,7.36,5.98,6.99,,
Neco Williams,6.69,7.01,6.43,8.38,5.5,5.68,,,,
Ryan Yates,6.25,7.08,7.73,,,,,,,
Anthony Elanga,8.17,8.11,7.47,7.81,5.99,,,,,7.0
Nicolás Domínguez,7.85,6.73,6.73,8.04,5.75,7.88,,,,
Ramón Sosa,7.54,,,,,,,,,
Álex Moreno,7.02,6.83,6.41,5.79,6.29,6.94,6.41,5.24,,
Jota Silva,5.68,,,,,,,,,
Harry Toffolo,7.61,7.65,5.44,,,,,,,
Morato,5.71,6.94,,,,8.0,5.56,7.44,5.88,6.4
James Ward-Prowse,5.44,8.58,6.3,7.81,8.34,7.13,7.9,5.69,7.73,7.1
Taiwo Awoniyi,6.32,8.22,7.78,6.39,7.84,5.88,,,,
Eric da Silva Moreira,6.0,,,,,,,,,
Danilo,6.9,8.4,7.77,7.28,7.67,8.14,7.37,6.89,8.12,7.98
Matheus Cunha,6.23,6.93,7.59,7.21,6.37,6.9,7.82,,,
Mario Lemina,7.73,6.47,6.11,5.69,5.87,,7.25,6.51,7.14,5.78
Yerson Mosquera,7.45,7.69,,,,,,,,
Rayan Aït-Nouri,5.74,5.78,5.63,6.12,6.83,7.53,6.03,,,
Jørgen Strand Larsen,6.73,7.15,7.51,,,,,,,
Matt Doherty,7.91,6.42,7.15,5.99,6.38,6.32,6.69,,,
Sam Johnstone,6.32,5.82,7.53,,5.87,,,,,
Gonçalo Guedes,7.77,6.9,7.03,7.99,6.0,6.57,6.41,6.48,6.8,
André,6.63,,,,,,,,,
João Gomes,6.14,7.67,6.18,,7.48,,,,,
Pablo Sarabia,6.03,8.24,5.83,8.35,5.81,6.77,7.16,6.7,6.96,6.69
Tommy Doyle,6.9,5.59,,,,7.87,,,,
Nélson Semedo,7.2,7.68,7.89,7.89,6.03,8.03,6.46,5.75,,
Craig Dawson,6.56,8.53,6.17,5.92,6.42,6.8,,6.93,6.02,6.45
Toti Gomes,7.37,5.78,7.19,8.15,,,,,,
Jean-Ricner Bellegarde,5.94,7.76,6.57,8.2,7.68,7.7,,,,
Daniel Podence,5.88,,7.41,6.96,6.45,8.25,,,,
Chiquinho,7.7,,,5.79,,,,,,
Rodrigo Gomes,6.5,,,,,,,,,
Lee Chung-yong,6.74,6.28,7.63,6.4,7.59,,,7.26,5.67,6.01
Carlos Forbs,7.3,,,,,,,,,
Santiago Bueno,6.73,5.93,7.4,,,,,,,
José Sá,7.08,8.53,6.98,8.43,,,,,,
Alex Iwobi,7.82,5.98,6.16,6.23,7.87,8.04,6.8,6.49,7.49,10.0
Antonee Robinson,6.43,7.87,6.96,,7.34,,,,,
Kenny Tete,7.21,6.23,5.71,,4.0,6.32,6.2,6.68,,
Reiss Nelson,7.32,5.48,8.22,5.39,7.89,7.09,6.66,5.74,,
Andreas Pereira,6.61,5.77,7.27,,7.48,5.55,5.39,6.58,7.78,7.27
Joachim Andersen,5.97,8.0,7.66,6.44,7.27,6.84,6.25,7.15,,
Emile Smith Rowe,6.53,7.19,7.46,6.63,6.67,7.76,5.38,,,
Raúl Jiménez,7.49,7.09,7.77,7.55,4.0,6.21,7.62,,,
Harry Wilson,5.87,7.78,7.24,,,7.37,,,,
Bernd Leno,5.65,6.02,8.01,7.63,5.75,7.66,6.78,5.63,7.21,8.02
Sander Berge,6.73,5.91,,,6.43,6.1,,,,
Adama Traoré,6.88,5.73,5.57,7.09,7.87,5.82,7.21,8.3,5.72,7.71
Saša Lukić,7.47,7.96,7.36,7.11,7.44,7.39,5.49,5.54,6.8,
Rodrigo Muniz,5.82,7.27,,,,,,,,
Tom Cairney,6.82,6.49,5.88,,7.71,,5.75,,,
Issa Diop,7.73,5.54,8.12,7.59,6.75,7.42,6.98,6.24,8.16,7.78
Calvin Bassey,6.84,6.65,,,,,,,,
Joshua King,7.97,,,5.87,7.69,6.24,6.86,5.87,7.04,6.04
Timothy Castagne,6.79,6.2,8.11,7.65,6.41,6.55,7.08,5.63,,
Harrison Reed,7.57,7.37,7.06,,6.05,,,,5.76,5.78
Jorge Cuenca,6.43,6.15,6.81,6.14,,,,,,
Ryan Sessegnon,6.12,,6.07,6.22,7.4,5.31,7.66,,,
Kevin De Bruyne,7.12,8.75,6.51,7.95,8.0,14.0,8.39,6.4,7.78,6.87
Joško Gvardiol,8.08,7.67,7.27,7.43,,,,,,
Mateo Kovačić,6.21,7.5,5.46,7.84,7.8,5.72,7.04,5.73,7.76,7.89
Fabinho,7.37,8.47,5.88,8.27,6.1,6.96,5.89,6.61,7.53,7.46
Erling Haaland,6.16,6.01,8.09,8.37,7.78,6.48,,,,
Matheus Nunes,8.2,6.19,7.52,,,,,,,
Jeremy Doku,5.84,6.8,7.78,5.61,6.4,,,,,
Bernardo Silva,8.25,8.27,7.68,8.53,5.7,8.34,7.82,7.12,6.08,5.57
Phil Foden,6.97,6.3,6.41,6.94,8.46,8.06,6.04,6.73,,
Rúben Dias,7.27,6.0,6.04,8.43,8.03,,,,,
Rodri,6.85,8.69,6.09,6.92,7.4,6.61,6.13,6.24,5.91,12.0
Jack Grealish,6.65,6.52,6.56,6.97,6.53,7.38,,,,7.97
Manuel Akanji,6.06,7.96,7.38,7.36,8.13,6.1,8.06,5.56,,
İlkay Gündoğan,7.85,7.93,8.45,5.91,7.18,7.68,7.18,6.94,7.11,6.81
Stefan Ortega,5.94,7.95,9.08,6.8,6.16,,,,,
Rico Lewis,6.63,7.41,7.99,,,,,,,
John Stones,6.37,5.75,7.47,8.04,8.4,5.56,7.02,2.0,7.8,5.99
Ederson,7.33,12.0,7.27,6.28,6.1,6.92,7.86,6.72,,
Kyle Walker,6.35,7.36,7.22,6.94,5.85,7.49,7.96,6.29,6.58,7.78
Nathan Aké,7.96,6.1,5.61,6.59,7.77,6.24,6.15,5.85,7.75,7.12
Jahmai Simpson-Pusey,7.35,,,,,,,,,
Jarrod Bowen,7.75,6.11,7.6,7.24,7.1,6.15,,,7.74,
Łukasz Fabiański,6.54,8.32,5.61,6.04,6.02,6.23,7.94,7.15,6.14,6.51
Tomáš Souček,8.39,6.34,7.86,7.39,6.25,6.1,,,,
Mohammed Kudus,7.96,7.25,,,,,,,,
Max Kilman,6.1,7.87,7.56,5.78,6.21,5.72,,,,
Aaron Wan-Bissaka,8.28,7.72,6.38,6.47,7.73,5.67,7.26,6.53,,
Konstantinos Mavropanos,10.0,5.45,6.16,7.07,7.4,6.85,5.69,8.3,6.24,8.43
Lucas Paquetá,7.69,6.08,8.4,7.84,6.21,7.13,5.37,,,
Emerson Palmieri,6.06,6.54,5.98,6.66,7.55,7.96,8.02,7.56,8.51,7.37
Danny Ings,5.59,6.8,7.98,7.86,6.87,8.12,7.32,7.57,,7.8
Alphonse Areola,5.58,7.01,6.83,5.42,6.69,6.52,7.85,6.12,8.03,7.52
Crysencio Summerville,5.78,,6.84,6.67,,,,,,
Edson Álvarez,7.97,7.12,,,,,,,,
Andy Irving,7.59,,,,,,,,,
Guido Rodríguez,7.67,7.61,6.53,6.7,7.63,7.13,,,,
Niclas Füllkrug,7.06,6.95,6.71,,5.89,5.98,7.63,8.09,,
Carlos Soler,6.02,8.35,7.51,6.77,7.8,5.36,6.77,6.0,7.19,
Aaron Cresswell,7.53,7.35,6.0,6.03,7.72,6.68,5.49,7.88,6.34,6.42
Michail Antonio,5.32,7.58,7.92,8.05,7.38,5.99,6.37,7.12,8.17,6.46
Jean-Clair Todibo,6.18,5.9,5.57,7.97,6.04,7.41,6.23,,,
Vladimír Coufal,5.84,5.83,7.28,6.73,7.55,,,,,
Luis Guilherme,5.4,,,,,,,,,
Oliver Scarles,7.11,,,,,,,,,
Arijanet Muric,6.64,12.0,,,,,,,,
Cameron Burgess,8.07,,,,,,,,,
Leif Davis,8.01,,,,5.49,,,,,
Dara O'Shea,6.57,7.95,,,7.18,,,,,
Sam Morsy,7.85,,,,,,,,,
Jacob Greaves,7.46,,,,,,,,,
Christian Walton,8.1,,,,,,,,,
Liam Delap,7.42,,,8.0,5.53,,,,,
Jack Taylor,6.72,,,,,,,,,
Axel Tuanzebe,5.96,,,5.61,7.2,5.43,,,6.98,
Jack Clarke,6.92,,,,,,,,,
Conor Chaplin,6.12,,,,,,,,,
George Hirst,7.73,,,,,7.18,,,,
Nathan Broadhead,7.94,,,,,,,,,
Ben Johnson,6.4,6.1,6.4,7.8,6.65,5.98,5.66,,,
Kalvin Phillips,6.43,6.02,6.89,7.44,6.44,,,,,
Jens Cajuste,6.72,5.64,7.63,6.31,,,,,,
Sammie Szmodics,5.32,,,,,,,,,
Massimo Luongo,6.39,,,,,,,,,
Omari Hutchinson,6.29,,5.28,,,,,,,
Luke Woolfenden,6.99,,,,,,,,,
Chiedozie Ogbene,7.42,7.05,,,,,,,,
Ali Al Hamadi,5.42,,,,,,,,,
Wes Burns,6.39,,,,,,,,,
Conor Townsend,5.61,,,,5.97,,,,,
Harry Clarke,5.39,,,,,,,,,
Marcus Harness,7.26,,,,,,,,,
Ben Gibson,7.69,8.26,6.99,8.44,7.98,8.32,6.55,6.24,6.33,5.57
James Maddison,7.46,8.1,8.68,6.6,6.31,6.81,8.1,,,
Fraser Forster,7.59,,5.65,5.71,5.55,,5.25,7.01,7.78,5.73
Cristian Romero,6.5,5.85,7.29,7.29,8.34,6.51,7.35,,,
Pedro Porro,7.86,6.83,7.0,,,5.85,7.21,,,
Guglielmo Vicario,7.16,7.16,7.84,7.38,8.28,,,,,
Brennan Johnson,7.67,8.13,6.66,,,,,,,
Dejan Kulusevski,6.38,7.28,6.17,5.32,6.4,6.68,5.63,,,
Dominic Solanke,5.98,7.44,5.55,,,7.46,7.39,6.33,,
Destiny Udogie,8.0,5.95,6.55,6.65,6.2,,,,,
Pape Matar Sarr,7.2,5.89,7.8,5.46,6.26,,,,,
Rodrigo Bentancur,8.06,5.88,6.41,6.8,7.19,5.77,6.52,6.73,,
Djed Spence,6.21,5.63,5.99,,,,,,,
Ben Davies,7.79,7.69,6.3,5.81,6.28,5.92,6.9,6.03,6.63,7.57
Micky van de Ven,8.07,5.89,6.59,5.56,,,,,,
Radu Drăgușin,5.79,7.82,,6.67,,,,,,
Yves Bissouma,5.78,6.8,5.92,8.44,7.9,6.09,6.52,6.23,5.49,
Timo Werner,7.11,6.23,7.41,6.16,6.79,8.97,6.23,8.33,7.09,6.14
Lucas Bergvall,6.9,,,,,,,,,
Archie Gray,7.66,,,,,,,,,
Wilson Odobert,7.53,6.45,5.81,,,,,,,
Richarlison,7.24,5.81,5.8,8.42,6.19,6.98,7.42,6.04,,
Alfie Dorrington,7.1,,,,,,,,,
Will Lankshear,7.28,,,,,,,,,
Mikey Moore,7.59,5.4,,,,,,,,
Ismaila Sarr,7.36,6.2,5.97,7.05,,6.05,6.97,7.49,6.51,
Eberechi Eze,5.86,7.15,6.89,6.62,5.64,,,,,
Trevoh Chalobah,7.32,8.05,8.05,5.91,7.37,,,,,
Marc Guéhi,5.93,5.7,7.12,6.12,,,,,,
Maxence Lacroix,5.92,6.49,6.86,5.87,8.06,,,,,
Tyrick Mitchell,6.04,7.56,6.8,6.69,6.06,6.77,,,,
Adam Wharton,10.0,5.92,,,,,,,,
Daniel Muñoz,8.17,6.16,,,,,,,,
Dean Henderson,5.95,6.48,7.31,,6.8,6.31,,,,
Eddie Nketiah,6.8,5.82,6.78,6.31,6.92,5.7,6.98,7.69,,
Justin Devenny,6.14,,,,,,,,,
Jean-Philippe Mateta,5.51,8.33,5.36,6.32,7.11,5.46,6.5,,7.07,
Jefferson Lerma,7.45,7.1,7.46,,,6.58,6.67,5.91,,6.35
Daichi Kamada,7.72,7.22,7.79,6.43,6.32,6.84,,5.5,,
Will Hughes,7.47,7.76,5.93,6.44,,6.49,7.48,7.94,,
Chadi Riad,6.45,8.08,,,,,,,,
Jeffrey Schlupp,6.22,6.8,6.64,6.34,5.58,7.34,5.86,7.38,7.68,7.03
Asher Agbinone,6.91,,,,,,,,,
Chris Richards,6.89,6.4,5.5,6.49,5.66,7.06,,,,
Cheick Doucouré,7.51,5.88,6.88,5.71,6.54,,,,,
Nathaniel Clyne,5.62,6.97,6.49,6.91,6.42,,6.92,7.86,8.22,6.65
Caleb Kporha,5.64,,,,,,,,,
Bruno Fernandes,7.33,8.6,7.47,7.7,7.05,9.12,,,8.13,8.43
Amad Diallo,6.6,6.9,,,7.5,7.36,,,,
Casemiro,8.05,7.57,6.95,6.03,7.57,8.22,7.44,6.78,6.66,6.08
Toby Collyer,6.68,,,,,,,,,
Noussair Mazraoui,7.2,6.4,6.58,,,,,,,
Diogo Dalot,7.02,6.66,7.87,5.96,5.99,6.74,5.53,,,
Lisandro Martínez,6.15,6.57,7.48,,,,,,,
André Onana,0.0,7.05,6.02,,,,,,,
Christian Eriksen,6.97,5.63,6.36,7.68,6.38,6.44,7.42,8.0,6.28,8.14
Kobbie Mainoo,5.99,7.48,5.65,,,,,,,
Marcus Rashford,6.88,8.01,7.41,6.03,7.54,7.71,7.03,6.09,6.29,6.28
Matthijs de Ligt,6.21,6.01,6.73,6.3,8.4,6.18,,,,
Jonny Evans,7.92,6.71,8.1,7.88,7.31,8.17,7.76,6.65,7.86,7.86
Harry Maguire,6.02,7.95,7.01,6.73,6.12,8.15,7.87,5.88,7.0,
Daniel Amartey,7.37,7.28,6.24,6.72,5.47,,7.02,5.38,5.43,5.57
Luke Shaw,7.5,7.8,7.11,8.11,7.98,6.24,6.06,7.24,7.06,7.89
Alejandro Garnacho,7.24,8.35,5.26,6.11,,,,,,
Joshua Zirkzee,7.85,8.24,6.03,,6.17,5.74,,,,
Rasmus Højlund,7.45,8.06,5.48,,,,,,,
Antony,5.37,7.09,7.73,,,,,,,
Victor Lindelöf,5.66,6.92,8.02,5.95,7.8,7.6,6.48,8.14,,
Tyrell Malacia,7.24,,7.52,,,,,,,
Mason Mount,6.2,6.48,6.95,6.12,8.2,5.9,,,,
Leny Yoro,7.3,7.17,6.36,7.96,,,,,,
Scott McTominay,5.89,6.69,7.85,6.81,6.45,7.84,7.79,7.17,6.52,
Aaron Ramsdale,6.35,6.96,5.87,6.85,5.96,7.66,,,,
Alex McCarthy,4.0,,5.32,7.93,5.6,8.13,7.01,7.61,,6.97
Taylor Harwood-Bellis,7.53,,,,,,,,,
Ryan Manning,7.58,,,,,,,,,
Carlos Alcaraz,6.04,7.31,5.54,,,,,,,
Jan Bednarek,6.17,,5.92,6.22,8.06,6.83,8.21,5.75,,
Samuel Edozie,7.16,,6.64,,,,,,,
Yukinari Sugawara,8.14,,,,,,,,,
Adam Lallana,6.71,7.82,6.19,7.07,5.55,5.83,6.78,6.84,6.84,7.03
Mateus Fernandes,5.85,,,,,,,,,
Tyler Dibling,7.79,,,,,,,,,
Joe Lumley,6.28,,,,,,,,,
Charlie Taylor,7.37,7.95,,6.67,5.73,7.89,5.53,5.97,,
Joe Aribo,6.86,,5.69,,,,,,,
Kyle Walker-Peters,6.96,,5.46,6.46,8.04,6.19,6.53,12.0,,
Flynn Downes,7.77,,7.49,,,,,,,
Paul Onuachu,7.05,,6.89,,,,,,,
James Bree,7.13,,5.47,,,,,,,
William Smallbone,7.95,,,7.44,7.47,6.51,,,,
Adam Armstrong,7.6,,7.86,7.85,,,,,,
Maxwel Cornet,5.99,7.63,6.71,2.0,8.23,7.91,7.5,6.4,5.6,7.95
Ben Brereton,7.74,7.68,,,,,,,,
Cameron Archer,7.08,7.73,6.4,5.97,,,,,,
Jack Stephens,6.12,,5.97,7.27,7.67,7.28,5.45,5.87,8.16,
Ross Stewart,5.95,,,,,,,,,
Ronnie Edwards,5.91,,,,,,,,,
Lesley Ugochukwu,5.34,7.56,7.0,5.9,2.0,,,,,
Samuel Amo-Ameyaw,7.68,,5.72,,,,,,,
Kamaldeen Sulemana,6.24,,5.9,8.21,,,,,,
Ryan Fraser,6.34,,7.72,7.34,7.5,7.91,7.0,8.32,7.21,
Cole Palmer,6.55,9.09,6.82,5.53,,,,,,
Moisés Caicedo,8.25,5.88,7.9,6.01,,,,,,
Enzo Fernández,6.15,5.84,6.23,,,,,,,
Noni Madueke,8.24,6.03,6.58,,,,,,,
Jadon Sancho,7.85,6.79,6.54,8.12,8.33,7.07,7.83,7.2,,
Nicolas Jackson,7.62,7.45,7.21,6.48,,,,,,
Filip Jørgensen,6.39,8.18,6.84,,,,,,,
Robert Sánchez,5.72,7.38,7.83,7.15,6.89,,,,,
Axel Disasi,7.43,7.58,6.2,6.19,6.72,7.07,5.81,,,
Pedro Neto,7.72,7.07,5.61,6.09,7.35,6.49,7.08,,,
Reece James,8.13,7.29,7.14,8.13,7.35,6.08,,,,
Malo Gusto,7.09,7.99,6.83,6.55,,,,,,
Wesley Fofana,5.92,,7.12,6.58,8.2,7.03,7.22,,,
Levi Colwill,7.53,8.0,7.43,,,,,,,
João Félix,7.21,7.22,6.44,6.4,5.58,6.77,,,,
Marc Cucurella,7.9,7.51,6.1,7.69,7.87,6.1,6.31,,,
Benoît Badiashile,6.91,6.72,5.7,6.23,7.94,7.15,7.1,,,
