Player,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented,Value,Positions,Height,Main position
Alex Moreno,7.99,136.7,16.0,0.0,0.0,0.0,0.0,0.7788841823965061,0.0,62.0,80.0,364.0,106.86894881992986,118.0,224.0,134.0,2.0,12.0,101.44998683763664,16.0,14.0,2.0,0.0,0.0,0.0,9.189526270366,6.0,0.0,0.0,54.0,14.841962060350603,0.0,11.63832948070823,62.0,59.13839250146251,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,45.65763086490682,18.0,0.0,0.0,4.0,232.0,0.0,16.0,2.0,136.0,0.0,8.0,0.0,0.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,6.0,34.0,10.0,0.0,0.0,0.0,32.0,18.0,6.0,92.0,0.0,0.0,0.0,0.0,144.0,248.0,0.0,0.0173142308054028,0.0,0.0,1585594.0,overall,16.0,0.0,€13.00m,"['Left-Back', 'Left Midfield']","1,79 m",Left-Back
Alex Scott,6.36,0.0,14.0,0.0,0.0,0.0,0.0,0.0702755376636379,0.0,168.0,26.0,202.0,90.08626374041692,0.0,8.0,58.0,4.0,2.0,33.7703137759332,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,52.2431428881827,0.0,1.767157120249653,32.0,37.64982350334986,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,4.0,40.0,8.0,8.0,12.0,40.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,4.0,10.0,21.48460488459328,0.0,0.0,0.0,0.0,68.0,100.0,0.0,0.2361503715472045,0.0,22.0,1510803.0,overall,2.0,0.0,€20.00m,"['Central Midfield', 'Attacking Midfield', 'Right Midfield']","1,78 m",Central Midfield
Alexander Isak,7.73,23.0,16.0,4.0,4.0,0.0,0.0,1.1280146298588165,0.0,54.0,14.0,202.0,81.33536647727374,8.0,142.0,110.0,12.0,12.0,67.07111217653002,6.0,0.0,0.0,0.0,0.0,0.0,20.502554731524747,22.0,12.0,14.0,22.0,11.55012618621462,2.0,21.801280860036023,46.0,28.491360872865737,1078.0,9.962347820714172,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.0,0.0,0.0,2.0,0.0,10.822720186662082,6.0,0.0,0.0,26.0,234.0,10.0,4.0,4.0,116.0,6.0,12.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,8.0,64.0,22.0,0.0,0.0,0.0,8.0,26.0,0.0,26.0,99.43078675163076,0.0,0.0,0.0,74.0,196.0,0.0,8.341003008367283,0.0,4.0,1510388.0,overall,8.0,0.0,€75.00m,"['Centre-Forward', 'Left Winger']","1,92 m",Centre-Forward
Alexis Mac Allister,8.24,132.6,6.0,0.0,0.0,0.0,0.0,2.094617810304297,0.0,720.0,110.0,94.0,65.62212159360044,90.0,474.0,44.0,10.0,2.0,17.456674239880922,6.0,2.0,6.0,0.0,0.0,4.0,33.94847200044072,2.0,0.0,0.0,4.0,47.86168347289353,6.0,27.190936760254885,36.0,90.43099975931604,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,73.80052348395694,14.0,0.0,0.0,18.0,10.0,12.0,18.0,2.0,998.0,26.0,36.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,6.0,6.0,34.0,0.0,0.0,0.0,0.0,30.0,12.0,2.0,2.666521174111125,0.0,0.0,0.0,0.0,152.0,574.0,0.0,0.015626038756707,0.0,16.0,1508974.0,overall,18.0,0.0,€75.00m,"['Central Midfield', 'Attacking Midfield', 'Defensive Midfield']","1,76 m",Central Midfield
Alisson,5.8,2.0,4.0,0.0,0.0,0.0,0.0,0.000736574317327,0.0,302.0,26.0,342.0,126.6108006249624,208.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,62.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,48.31282711412369,2.0,0.0,0.0,0.0,32.0,0.0,18.0,10.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,8.0,0.0,0.0,4.0,6.0,8.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,76.0,10.0,0.0,0.0,4.0,70.0,1508976.0,overall,10.0,5.148330566208575,€28.00m,['Goalkeeper'],"1,93 m",Goalkeeper
Alphonse Areola,7.56,45.0,0.0,0.0,0.0,0.0,0.0,0.0037576366148458,0.0,350.0,130.0,384.0,24.14084968568953,32.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,28.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,28.965443345985136,10.0,0.0,0.0,0.0,16.0,0.0,34.0,34.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,2.0,6.0,8.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,20.0,0.0,104.0,0.0,0.0,0.0,2.0,314.0,112.0,0.0,0.0,50.0,78.0,1511982.0,overall,14.0,-4.5365553500468465,€10.00m,['Goalkeeper'],"1,95 m",Goalkeeper
Amad Diallo,8.0,71.2,12.0,0.0,2.0,0.0,6.0,2.044116009211063,2.0,272.0,96.0,60.0,121.40085203583251,100.0,84.0,104.0,16.0,0.0,94.38642183307928,36.0,4.0,0.0,0.0,0.0,8.0,52.138478080748875,24.0,2.0,4.0,66.0,66.2500056719793,0.0,25.443506414370137,10.0,27.70068038227612,204.0,10.74886662361309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,11.515145829886158,0.0,0.0,0.0,10.0,130.0,10.0,0.0,8.0,1008.0,14.0,10.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,4.0,54.0,8.0,0.0,0.0,0.0,4.0,6.0,32.0,116.18839974407852,1358.0,0.0,0.0,0.0,166.0,410.0,0.0,0.4003734846110531,0.0,14.0,1507862.0,overall,0.0,0.0,€22.00m,"['Right Winger', 'Left Winger', 'Right Midfield']","1,73 m",Right Winger
Amadou Onana,8.3,113.8,6.0,0.0,0.0,0.0,0.0,0.2449173532053294,0.0,376.0,30.0,12.0,48.68927653090108,116.0,92.0,104.0,4.0,6.0,146.0,20.0,2.0,0.0,0.0,0.0,0.0,166.0,6.0,0.0,4.0,70.0,22.65232206176782,0.0,44.0,48.0,35.32343062890563,600.0,32.573681062599135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,86.0,18.0,0.0,0.0,2.0,16.0,0.0,12.0,0.0,442.0,18.0,22.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0,0.0,82.0,4.0,0.0,0.0,0.0,8.0,16.0,8.0,110.0,391.5638353773499,0.0,0.0,0.0,298.0,296.0,0.0,0.5671674671451992,0.0,12.0,1511992.0,overall,12.0,0.0,€55.00m,"['Defensive Midfield', 'Central Midfield']","1,95 m",Defensive Midfield
Andre,7.23,89.1,10.0,0.0,0.0,0.0,0.0,0.0263166409751555,0.0,526.0,38.0,344.0,56.2743211877997,96.0,96.0,62.0,4.0,0.0,24.0,48.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,124.22063716349078,0.0,0.0,56.0,34.22587507944194,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,125.95847777345514,14.0,0.0,0.0,10.0,32.0,0.0,20.0,8.0,128.0,20.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,10.0,0.0,6.0,2.0,0.0,0.0,0.0,32.0,32.0,30.0,116.72196820493748,0.0,0.0,0.0,0.0,272.0,172.0,0.0,0.1199631257962658,0.0,32.0,1541738.0,overall,2.0,0.0,0,"['Central Midfield', 'Attacking Midfield']","1,71 m",Central Midfield
Andre Onana,8.02,62.5,16.0,0.0,0.0,0.0,0.0,0.2608438763894236,0.0,536.0,56.0,292.0,14.295142298695538,360.0,64.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,4.0,174.0,6.0,86.2836080259192,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,9.57634963968301,12.0,0.0,0.0,0.0,250.0,0.0,38.0,28.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,4.0,2.0,0.0,18.0,10.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,20.0,0.0,58.0,0.0,0.0,0.0,10.0,568.0,40.0,0.0,0.0,70.0,144.0,1507904.0,overall,22.0,5.226019656273219,€35.00m,['Goalkeeper'],"1,90 m",Goalkeeper
Andreas Pereira,6.39,138.9,18.0,0.0,0.0,0.0,0.0,1.5369465803568878,0.0,158.0,106.0,494.0,72.96918787124118,162.0,110.0,42.0,58.0,4.0,116.0,10.0,4.0,0.0,0.0,0.0,22.0,31.131748370253852,14.0,10.0,8.0,32.0,60.56227860285841,12.0,39.40174253884021,8.0,33.33552092203312,214.0,7.2921602583544605,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,14.0,0.0,0.0,0.0,28.0,57.84976763484235,2.0,0.0,0.0,6.0,260.0,4.0,0.0,2.0,702.0,6.0,6.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,58.0,10.0,26.0,18.0,8.0,0.0,0.0,0.0,70.0,6.0,4.0,63.21535508029666,610.0,0.0,0.0,0.0,192.0,488.0,0.0,0.8075466705516732,0.0,58.0,1507884.0,overall,20.0,0.0,€20.00m,"['Attacking Midfield', 'Central Midfield', 'Left Midfield']","1,78 m",Attacking Midfield
Andrew Robertson,6.92,90.4,0.0,0.0,4.0,0.0,0.0,2.211749681703847,0.0,346.0,56.0,894.0,140.66388319784238,90.0,412.0,22.0,8.0,2.0,33.10352383711883,22.0,6.0,0.0,0.0,0.0,14.0,30.942554778743457,2.0,2.0,0.0,32.0,3.3438901656642273,0.0,36.0,24.0,25.779592171003003,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8.625814078609622,12.0,0.0,0.0,2.0,68.0,2.0,64.0,6.0,686.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,4.0,6.0,2.0,4.0,0.0,0.0,0.0,18.0,8.0,0.0,60.59440443963883,0.0,0.0,0.0,0.0,528.0,46.0,0.0,0.9224715252944342,0.0,42.0,1508986.0,overall,8.0,0.0,€30.00m,"['Left-Back', 'Left Midfield']","1,78 m",Left-Back
