,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,id,type,appearances,goalsPrevented
James Justin,8.07,125.8,10,0,0,0,0,0.05366389358931001,4,366,58,90,89.61537426894853,190,292,20,6,0,42.60265799267587,6,26,0,0,0,6,1.0783813591976745,2,2,2,8,66.79158878401097,2,94,84,14.926119335911409,492,39.26582683781481,0,0,0,0,0,0,2,0,8,0,0,0,0,22,6.117021428645785,30,0,0,8,234,0,48,2,902,16,6,0,0,6,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,2,12,26,10,10,0,0,0,72,18,4,21.882908970004678,246.98137187161979,0,0,0,392,516,0,0.2576349271044279,0,10,1520192,overall,12,
Caleb Okoli,5.65,49.2,10,0,0,0,0,0.06910852405882416,0,412,56,8,171.08945596430846,68,124,18,0,0,0,26,10,0,0,0,0,0,2,0,0,36,130.7512342396415,8,9.420589762016562,10,40.78091153887545,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.959914928631278,90,0,0,0,68,0,20,4,1036,2,4,0,0,4,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,6,0,0,0,0,0,2,2,0,0,0,84,26,12,85.08901049198082,0,0,0,0,582,118,0,0.07731745667946541,32,60,1541674,overall,8,
Luke Thomas,6.25,7.7,0,0,0,0,0,0.05105012679975116,0,18,6,44,13.399050886662096,8,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,2,56,8,82.66545305519836,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,4,0,132,0,0,0,0,42,10,0,0.02598555937465344,0,4,1681150,overall,0,
Mads Hermansen,6.11,196.4,22,0,0,0,0,0.0432145652826714,0,248,106,412,13.953394028590239,384,74,18,0,0,2,0,0,0,0,0,0,0,0,0,0,4,90,0,129.01006149283307,6,50.71987237347261,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33.05550861723856,34,0,0,0,276,0,24,24,440,0,0,0,0,0,0,0,0,24,0,0,0,8,0,2,0,6,12,2,10,0,16,0,0,0,0,0,0,0,0,0,0,400,50,0,132,0,0,0,20,84,164,0,,48,204,1520140,overall,0,2.668310309200266
Facundo Buonanotte,5.9,29.8,6,2,8,0,0,0.8123504951091263,2,236,44,32,90.65619161058602,82,40,96,20,2,21.85219015022919,38,2,4,0,0,2,36.02957878744161,30,4,0,20,4.112917348651017,4,48.6283019814571,22,70.12268556954061,700,25.901956697059394,0,0,0,0,0,0,6,0,18,12,0,2,0,12,24.65913461556675,2,0,0,20,190,6,16,12,428,14,10,0,0,46,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,66,26,10,32,0,0,0,10,22,24,38,330.53524004680037,0,0,0,82,240,0,2.9917554195510334,0,98,1520180,overall,18,
Hamza Choudhury,5.18,3.1,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1585584,overall,0,
Jannik Vestergaard,6.61,37.8,4,0,0,0,0,0.05652185405798939,0,144,62,534,97.25486046546463,218,106,16,0,0,0,8,4,0,0,0,0,0,0,0,0,6,36.76551797291392,6,81.93442471586764,36,50.89192173547676,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13.051906242496585,54,0,0,0,62,0,12,18,572,0,8,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,32,10,0,8,0,0,0,0,26,162,0,0.0026520719899441065,16,14,1520194,overall,0,
Abdul Fatawu Issahaku,5.65,14.2,2,0,2,0,2,0.03107271373034659,0,112,44,116,40.972887885737535,16,0,50,8,6,0.1507947321987757,10,0,0,0,0,10,2,24,8,0,130,87.14188164603743,12,80.78307336541218,162,58.059329478932256,118,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,102,12,0,0,20,178,0,0,12,50,12,4,0,0,6,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,68,34,98,4,0,0,0,2,2,6,130.5951552940674,0,0,0,0,46,174,0,0.06151098234858221,0,0,1520184,overall,18,
Kasey McAteer,7.03,45.7,0,0,0,0,0,0.07241901355096947,0,76,4,80,6.52646985709228,4,12,14,0,0,92,10,0,0,0,0,0,24,0,0,0,4,13.411955539926836,0,35.005308263019955,14,38.33114477689615,232,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17.304733617628116,4,0,0,2,20,2,0,0,112,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,26,12,0,0,0,2,0,10,24.4083999038789,0,0,0,0,20,6,0,0.440102372243355,0,26,1520148,overall,0,
Bilal El Khannouss,7.73,98.5,16,0,6,0,0,0.5335107074287482,2,122,40,246,112,6,66,40,0,4,22,2,0,0,0,0,0,34,4,0,0,18,22.587403227843303,2,62.32983524812168,14,9.13238395630173,80,1.3418082480810654,0,0,0,0,0,0,0,0,2,0,0,0,0,8,99.92924029543238,0,0,0,4,88,0,14,4,286,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,6,18,10,18,2,0,0,0,8,2,6,2.1161352628739465,336,0,0,0,42,142,0,0.11162826116145183,0,16,1541678,overall,10,
Evan Ferguson,7.46,20,0,0,0,0,0,0.011066215662902931,0,12,0,64,115.83601571636656,14,16,0,0,0,0,4,0,0,0,0,0,0,4,0,0,2,38.049193134505515,4,24,14,55.571148234264186,124,32,0,0,0,0,0,0,0,0,2,2,0,0,0,0,98,0,0,0,0,6,0,0,0,96,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,75.88823924378431,26,0,0,0,20,12,0,0.36455982283001037,0,0,1585539,overall,8,
Danny Welbeck,8.28,126.4,4,8,0,8,0,0.6238627110962616,2,200,34,180,132.85466640992044,108,130,64,6,8,12.808908390522195,16,2,0,0,0,0,0,44,16,6,22,75.63953698907436,6,10,52,42.023204368066494,2174,28.89658769452919,0,0,0,0,8,0,2,0,0,6,0,0,4,2,17.291802405502906,0,0,0,8,66,8,4,0,86,16,8,0,0,2,2,16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,24,0,25.22788188721404,12,16,0,76,8,0,0,0,0,24,8,101.59034609299819,77.97000861068213,0,0,0,76,208,0,0.47935514156208026,0,26,1510748,overall,2,
Brajan Gruda,6.07,11.9,2,0,0,0,0,0.053111767036051846,0,2,0,22,131.48811403766135,8,20,6,2,0,63.65339273640774,0,0,0,0,0,0,0,0,0,0,6,69.44653396419405,0,0,4,10.228424736271947,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,41.32247118349261,0,0,0,0,2,18,0,,0,0,1623771,overall,4,
Simon Adingra,5.85,131.9,18,0,0,0,0,0.8239585169804287,0,74,10,144,158.26042867513831,20,84,44,4,10,20.68282092255039,16,4,0,0,0,0,1.2535169434584992,0,2,2,24,24.10781937409609,0,72,12,9.686049033990805,680,7.385557517035657,0,0,0,0,0,0,0,0,0,0,0,0,0,6,114.73590608759653,0,0,0,2,66,0,0,4,214,0,8,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,26,10,12,0,0,0,0,4,8,4,27.466263811014414,168,0,0,0,24,26,0,0.005972687057266057,0,22,1510774,overall,0,
Julio Enciso,7.37,47.5,8,0,0,0,0,0.11108263705448765,0,8,0,74,82,14,20,16,0,0,52.791430484745106,0,0,0,0,0,2,10.38538967532423,4,2,2,6,36,0,39.51827144017969,10,51.35043496091908,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,22,0,2,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,70,0,0.15338294631095375,0,0,1526312,overall,12,
Jakub Moder,5.47,12,2,0,0,0,0,0.00807551855759112,0,20,0,2,35.508106387763505,4,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,0,0,1650542,overall,2,
James Milner,7.18,28.8,0,0,0,0,0,0.09925025153587749,0,86,2,90,74,38,46,12,4,0,0,8,2,0,0,0,4,6.655565292790385,2,0,0,12,102,0,0,0,8.168421019388099,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48776910226959,2,0,0,0,26,0,0,0,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,2,0,0,0,0,0,0,2,16,0,0,0,0,22,72,0,0.015064047620708398,0,2,1510758,overall,4,
Matt O'Riley,6.04,12.2,6,0,0,0,0,0.8510684590478996,0,104,2,6,170.23603586086085,30,36,14,2,0,26,0,2,0,0,0,2,37.15190255369978,2,2,2,6,105.43441476643551,0,88,6,42.8413931824135,352,2,0,0,0,0,0,0,0,0,6,0,0,0,0,4,26,2,0,0,0,28,0,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,16,6,0,0,0,0,6,6,2,45.83782329003503,142,0,0,0,56,68,0,1.3408018593558193,0,10,1661418,overall,0,
